DTXSID	canonical SMILES
DTXSID5023796	N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1.O=S(=O)(O)CCO.O=S(=O)(O)CCO
DTXSID9032379	CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C
DTXSID9026261	O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl
DTXSID5021916	CCCCCC(C)=O
DTXSID5034270	Cc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1
DTXSID7021237	COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
DTXSID1023998	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
DTXSID6024048	COS(=O)(=O)[O-].Cn1c(-c2ccccc2)cc(-c2ccccc2)[n+]1C
DTXSID3020122	COP(=S)(OC)SCn1nnc2ccccc2c1=O
DTXSID5022437	C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1
DTXSID3022320	C(=C(c1ccccc1)c1ccccc1)c1ccccc1
DTXSID2032392	CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1
DTXSID2021947	CCCCCCCCCCCCCO
DTXSID6021824	Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O
DTXSID3021984	CCCCCCCCCCCCN
DTXSID2032637	CC1=NNC(=O)N(/N=C/c2cccnc2)C1
DTXSID2047270	O=c1[nH]c2ccc(S(=O)CCN3CCC(Cc4ccc(F)cc4)CC3)cc2o1
DTXSID9032329	CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1
DTXSID4020537	CN(C)CCOC(c1ccccc1)c1ccccc1.[Cl-].[H+]
DTXSID1026164	Cc1ccccc1N
DTXSID7024160	CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
DTXSID9020372	Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
DTXSID6042232	CC(CC=O)CCCC(C)(C)O
DTXSID8029157	CCCCC/C(C=O)=C/c1ccccc1
DTXSID3023556	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
